blank,Material,Plant,Material Description,MRP Type,Valuation Class,Material Group,Base Unit of Measure,Price Unit,Price Control,Price,Material Type,Last Change,Created by
,90017917,2241,BRGN UNT LOCK COLLAR REGAL B PWR/NP-35T,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017918,2241,BRGN BALL UNIT FLNG DODGE/F2BSC107,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017919,2241,SPROKET B 19T TSUBAKI H35B19F 5/8,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017920,2241,DBL SPRK 15T TPR BUSH MARTIN/D40AT15H,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017921,2241,SPROKET DBL 15T MARTIN/D40B15H 1-1/8,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017922,2241,SPRK DBL 15T TP BSH MARTIN/D40B20H 1 3/4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017923,2241,SPROKET DBL B 19T TSUBAKI D40B26 1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017924,2241,WEAR SLEEVE TIMKEN/J1115,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017925,2241,MECH CLUTCH FORMSPRAG CL/CL43152-3GR,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017926,2241,VALVE DIRECTN INGERSOLL R/K214SS-120-A,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017927,2241,FLANGE BRNG OILUBE 5/8X7/8X1/2 /FL-64-5,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017928,2241,SLEEVE BRNG OILUB 1/2X3/4X1-3/4 /P-52-14,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017929,2241,BRGN BALL THR ROD ENDS M/4454-00,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017930,2241,BELT V CONTITECH/AX79,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017931,2241,DBL SPRK 15T MARTIN/D50B15 1-1/8,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017932,2241,SPROKET DBL 17T T BR REGAL B PW/D50TBA17,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017933,2241,SPROKET DBL B 20T TSUBAKI D50B20F 1 3/8,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017934,2241,SPROKET DBL B 24T TSUBAKI D50B24F 2,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017935,2241,BRGN GROOVE BALL NSK/6207 ZZNR,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017936,2241,NUT LOCK BRGN SKF/AN 15,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017937,2241,NUT LOCK BRGN SKF/AN 16,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017938,2241,NUT LOCK BRGN SKF/AN 17,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017939,2241,BRGN GROOVE BALL SMART SUPPLIES/99502H,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017940,2241,PLL IDLER TIMKEN/006-11520A,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017941,2241,O-RING BUNA-N 7/8IDX1/16W DMR/020,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017942,2241,O-RING BUNA-N 5-1/2IDX1/8W DMR/254,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017943,2241,O-RING BUNA-N 2-3/4IDX1/8W DMR/232,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017944,2241,BELT SERPENTINE HYSTER 1377755,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017945,2241,SHAFT SEAL 1.25X2.374X.313 SKF/CR 12614,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017946,2241,SHAFT SEAL .625X1.25X.25 SKF/CR6315,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017947,2241,SHAFT SEAL 1.313X2.125X.313 SKF/CR 13092,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017948,2241,SHAFT SEAL 1.375X2.437X.25 SKF/CR 13797,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017949,2241,SHAFT SEAL 1.438X2.061X.313 SKF/CR 14214,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017950,2241,SHAFT SEAL 1.5X2.25X.313 SKF/CR 14938,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017951,2241,SHAFT SEAL 1.5X2.328X.5 SKF/CR 14972,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017952,2241,SHAFT SEAL 1.552X2.502X.5 SKF/CR 15450,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017953,2241,SHAFT SEAL 1.75X2.622X.313 SKF/CR17443,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017954,2241,SHAFT SEAL 1.75X3X.313 SKF/CR17707,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017955,2241,SHAFT SEAL 1.75X3.542X.438 SKF/CR17756,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017956,2241,SHAFT SEAL 1.875X2.622X.313 SKF/CR18581,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017957,2241,SHAFT SEAL 2X2.75X.313 SKF/CR19832,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017958,2241,SHAFT SEAL 2X2.875X.375 SKF/CR19896,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017959,2241,SHAFT SEAL 2.125X2.875X.438 SKF/CR21100,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017960,2241,SHAFT SEAL 2.25X3.251X.375 SKF/CR22441,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017961,2241,SHAFT SEAL 2.125X3.505X.75 SKF/CR22587,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017962,2241,SHAFT SEAL 2.75X4.125X.438 SKF/CR27576,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017963,2241,SHAFT SEAL 3X3.751X.375 SKF/CR29865,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017964,2241,SEAL OIL NT 3.25X3.25X.5 TIMKEN/450317,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017965,2241,SEAL OIL NT 3.50X3.50X.5 TIMKEN/455434,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017966,2241,BUSHING QD FLG MARTIN/JA 1-1/8,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017967,2241,TPD BUSHING MARTIN/3020 1 5/16,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017968,2241,BUSHING QD FLANGE MARTIN SH 5/8,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017969,2241,BUSHING QD FLANGE MARTIN SF 2,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017970,2241,LOCK WASHER BRGN .989IN SKF/W 05,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017971,2241,LOCK WASHER BRGN 1.193IN SKF/W 06,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017972,2241,LOCK WASHER BRGN 1.396IN SKF/W 07,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017973,2241,LOCK WASHER BRGN 1.583IN SKF/W 08,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017974,2241,LOCK WASHER BRGN 2.973IN SKF/W 15,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017975,2241,NUT LOCK BRNGN SKF/N 06,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017976,2241,NUT LOCK BRGN SKF/N 08,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017977,2241,BRGN BALL UNT FLG NSK/UCFC210D1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017978,2241,HOUSING BRGN SMART SUPPLIES/FA210 HSG,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017979,2241,BRGN GROOVE BALL SCHAEFFLER/206-NPP-B,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017980,2241,BELT V CONTITECH/360J6,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017981,2241,TORQUE LMTR REGAL B PWR/250A-1 TL 7/8 FB,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017982,2241,BUSHING REGAL PW/250 TL BUSHING (480)PB,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017983,2241,DIRECTION VALVE EATON/584747,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017984,2241,BELT TIMING CONTITECH/700XH300,PD,3040,U31162313,EA,1,V,0.01,ZER2,2018-11-12,U362KBOU
,90016953,2241,BRNG BALL ROD ENDS M/22810-77,PD,3040,U31162313,EA,1,V,0.01,ZER2,2018-11-05,U362KBOU
,90016954,2241,BRNG BALL CHENGDU WEST/R8-2Z,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016955,2241,BRG INSERT BALL NTN/AS202-010,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016956,2241,CAM FOLOWER BRNG REGAL B PWR/CYR 1 3/4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016957,2241,CAM FOLOWER BRNG REGAL B PWR/CYR 7/8 S,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016958,2241,CAM YOKE ROLLER RINGBALL/CRY-14-VUU,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016959,2241,CAM YOKE ROLLER RINGBALL/CRY-20-VUU,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016960,2241,HOOD FASTENER SPAENAUR/099-451-A,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016961,2241,OFFSET LINK CHAIN 40-1 RENOLD/40-1OL,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016962,2241,OIL SEAL MM DMR/45607,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016963,2241,FILTER SCREEN VALCO/593XX020,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016964,2241,FITTING QD FEMALE 1/8 VALCO/750XX025,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016965,2241,FITTING QD MALE 1/8 VALCO/750XX019,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016966,2241,FITTING SWIVEL FEMALE VALCO/750XX001,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016967,2241,REPAIR KIT VALCO/593XX038,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016968,2241,TIMING PULLEY CONTITECH/140XL034,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016969,2241,FRICTN FACING TL 350A REGAL B PWR/604101,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016970,2241,DRCTNL CTRL VALVE 4W/3P PARKER/D3W1CNYC4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016971,2241,CHECK VALVE PILOTED PARKER/CSPH103P20-8,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016972,2241,DBL PILOTED CHECK VALVE PARKER/CPOM2DD,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016973,2241,DCTNL CTRL VALVE 4W/3P PARKER/D1VW4CNYC4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016974,2241,GAUGE GLY 0-3000I/L TOPRING/55.663,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016975,2241,GAUGE GLY 0-2000I/L TOPRING/55.658,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016976,2241,GAUGE GLY 0-1000I/L TOPRING/55.648,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016977,2241,FILTER OIL DONALDSON COMPANY INC P167410,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016978,2241,GAUGE LEVEL TEMP 5IN HYDRO CRAFT/HSG-55,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016979,2241,VALVE PRESS RELIEF REXROTH/0 532 002 013,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
