Material,Plant,TotalStock
90000794,1715,0.000
90000795,1715,0.000
90000796,1715,0.000
90000797,1715,0.000
90000798,1715,1.000
90000799,1715,1.000
90000800,1715,0.000
90000801,1715,0.000
90000802,1715,4.000
90000803,1715,0.000
90000804,1715,0.000
90000805,1715,0.000
90000806,1715,0.000
90000807,1715,3.000
90000808,1715,0.000
90000809,1715,0.000
90000810,1715,0.000
90000811,1715,0.000
90000812,1715,0.000
90000813,1715,0.000
90000814,1715,0.000
90000815,1715,0.000
90000816,1715,0.000
90000817,1715,0.000
90000818,1715,0.000
90000819,1715,0.000
90000820,1715,0.000
90000821,1715,0.000
90000822,1715,0.000
90000823,1715,0.000
90000824,1715,0.000
90000825,1715,0.000
90000826,1715,0.000
90000827,1715,0.000
90000828,1715,0.000
90000829,1715,0.000
90000830,1715,0.000
90000831,1715,0.000
90000832,1715,0.000
90000833,1715,0.000
90000834,1715,0.000
90000835,1715,0.000
90000836,1715,0.000
90000837,1715,0.000
90000838,1715,2.000
90000839,1715,0.000
90000840,1715,0.000
90000841,1715,1.000
90000842,1715,2.000
90000843,1715,0.000
90000844,1715,0.000
90000845,1715,0.000
90000846,1715,0.000
90000847,1715,0.000
90000848,1715,0.000
90000849,1715,0.000
90000850,1715,0.000
90000851,1715,0.000
90000852,1715,0.000
90000853,1715,0.000
90000854,1715,0.000
90000855,1715,0.000
90000856,1715,0.000
90000857,1715,0.000
90000858,1715,0.000
90000859,1715,0.000
90000860,1715,0.000
90000861,1715,0.000
90000862,1715,0.000
90000863,1715,0.000
90000864,1715,0.000
90000865,1715,0.000
90000866,1715,0.000
90000867,1715,0.000
90000868,1715,0.000
90000869,1715,0.000
90000870,1715,0.000
90000871,1715,0.000
90000872,1715,0.000
90000873,1715,0.000
90000874,1715,0.000
90000875,1715,0.000
90000876,1715,0.000
90000877,1715,0.000
90000878,1715,0.000
90000879,1715,0.000
90000880,1715,0.000
90000881,1715,0.000
90000882,1715,0.000
90000883,1715,0.000
90000884,1715,0.000
90000885,1715,0.000
90000886,1715,0.000
90000887,1715,0.000
90000888,1715,0.000
90000889,1715,0.000
90000890,1715,0.000
90000891,1715,0.000
90000892,1715,0.000
90000893,1715,0.000
90000894,1715,0.000
90000895,1715,0.000
90000896,1715,0.000
90000897,1715,0.000
90000898,1715,0.000
90000899,1715,0.000
90000900,1715,0.000
90000901,1715,0.000
90000902,1715,0.000
90000903,1715,0.000
90000904,1715,0.000
90000905,1715,0.000
90000906,1715,0.000
90000907,1715,0.000
90000908,1715,0.000
90000909,1715,0.000
90000910,1715,0.000
90000911,1715,0.000
90000912,1715,0.000
90000913,1715,0.000
90000914,1715,0.000
90000915,1715,0.000
90000916,1715,0.000
90000917,1715,0.000
90000918,1715,0.000
90000919,1715,0.000
90000920,1715,0.000
90000921,1715,0.000
90000922,1715,0.000
90000923,1715,0.000
90000924,1715,0.000
90000925,1715,0.000
90000926,1715,0.000
90000927,1715,0.000
90000928,1715,0.000
90000929,1715,0.000
90000930,1715,0.000
90000931,1715,1.000
90000932,1715,0.000
90000933,1715,0.000
90000934,1715,0.000
90000935,1715,0.000
90000936,1715,0.000
90000937,1715,0.000
90000938,1715,0.000
90000939,1715,0.000
90000940,1715,0.000
90000941,1715,0.000
90000942,1715,0.000
90000943,1715,0.000
90000944,1715,0.000
90000945,1715,0.000
90000946,1715,0.000
90000947,1715,0.000
90000948,1715,0.000
90000949,1715,0.000
90000950,1715,0.000
90000951,1715,0.000
90000952,1715,0.000
90000953,1715,0.000
90000954,1715,0.000
90000955,1715,0.000
90000956,1715,0.000
90000957,1715,0.000
90000958,1715,0.000
90000959,1715,0.000
90000960,1715,0.000
90000961,1715,0.000
90000962,1715,0.000
90000963,1715,0.000
90000964,1715,0.000
90000965,1715,0.000
90000966,1715,0.000
90000967,1715,0.000
90000968,1715,0.000
90000969,1715,0.000
90000970,1715,0.000
90000971,1715,0.000
90000972,1715,0.000
90000973,1715,0.000
90000974,1715,0.000
90000975,1715,0.000
90000976,1715,0.000
90000977,1715,0.000
90000978,1715,0.000
90000979,1715,0.000
90000980,1715,0.000
90000981,1715,0.000
90000982,1715,0.000
90000983,1715,0.000
90000984,1715,0.000
