Functional Location,Plnt,BOM Usg,Item,Component,Quantity,Un,Un,A
1715-05-01-08-16A-02D-016-0004,1715,4,0220,90000501,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0200,90000694,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0190,90000693,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0170,90000909,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0240,90000170,61,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0010,90001022,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0180,90000188,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0290,90000351,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0270,90000502,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0260,90000501,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0280,90000170,44,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0250,90000742,4,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0160,90000126,5,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0150,90000125,22,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0140,90000535,6,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0130,90000265,11,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0110,90000537,2,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0080,90000982,4,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0070,90000980,8,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0060,90000978,8,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0050,90000977,4,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0040,90001027,8,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0030,90001026,3,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0020,90001023,8,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0010,90001022,3,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0090,90001032,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0100,90001034,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0120,90000263,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0180,90000040,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0170,90000039,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0190,90000057,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0200,90000908,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0210,90000909,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0240,90000694,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0230,90000693,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0220,90000188,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0010,90001022,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0050,90001032,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0060,90001034,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0080,90000263,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0130,90000039,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0140,90000040,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0150,90000057,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0160,90000908,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0180,90000188,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0240,90000170,61,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0030,90001026,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0020,90001023,6,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0040,90001027,6,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0210,90000742,12,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0120,90000126,5,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0110,90000125,14,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0100,90000535,2,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0070,90000537,2,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0090,90000265,7,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0200,90000694,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0220,90000501,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0230,90000502,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0250,90000351,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0190,90000693,1,EA,EA,C
1715-05-01-08-16A-02F-016-0006,1715,4,0170,90000909,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0160,90000126,5,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0180,90000040,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0120,90000263,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0100,90001034,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0090,90001032,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0290,90000351,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0150,90000125,24,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0270,90000502,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0250,90000742,6,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0280,90000170,57,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0140,90000535,6,EA,EA,C
