"Material";"Plant";"Material Description";"HasStock";"DUPLICATE_REFERENCE";"MANUFACTURER/VENDOR";"PART_NUMBER";"M";"Utopia_OEMFlag";"Z011_NotOEM";"count(Characteristic Value)";"maximum(Criticality)";"count(BOM Usg)";"CLASS";"MFRPN";"MFRNR";"Class1";"Class2";"Fournisseur";"Priority"
90002253;1715;"CONTACTOR ALLEN BRADLEY 100-C55EJ01 55A";"false";;"ROCKWELL AUTOMATION";"100-C55EJ01";"ALLEN-BRADLEY";"OEM";"FALSE";2;;;;;;;;;4
90002197;1715;"BELT TIMING GATES 14MGT-1568-37 1568MM";"false";;"GATES";"14MGT-1568-37";"GATES";"NOT OEM";"FALSE";1;2;1;;;;;;;6
90001271;1715;"CABLE ELECTRICAL PCMC 30295106 9000MM";"false";;"PCMC";"30295106";"PCMC";"NOT OEM";"TRUE";1;2;1;;;;;;;-6
90002690;1715;"SELF ALIGN ROD COUPLER BRETTING 06000597";"false";;"BRETTING";"06000597";"BRETTING";"NOT OEM";"TRUE";;2;1;;;;;;;2
90000461;1715;"SENSOR PROXIMITY PCMC 130761.264.0";"true";;"PCMC";"130761.264.0";"PCMC";"NOT OEM";"TRUE";;2;3;;;;;;;14
90001269;1715;"CABLE ELECTRICAL PCMC 30295086 15000MM";"false";;"PCMC";"30295086";"PCMC";"NOT OEM";"TRUE";1;2;1;;;;;;;-6
90001910;1715;"BEARING LINEAR EDSON E1000904";"true";;"EDSON";"E1000904";"EDSON";"NOT OEM";"TRUE";;0;1;;;;;;;8
90000113;1715;"BLADE PERFO PCMC 30091285.063 3300MM";"true";;"PCMC";"30091285.063";"PCMC";"NOT OEM";"TRUE";0;2;2;;;;;;;14
90002872;1715;"POWER SUPPLY ELEC AB 1606-XLE240E-3";"false";;"ROCKWELL AUTOMATION";"1606-XLE240E-3";"ALLEN-BRADLEY";"OEM";"FALSE";0;;;;;;;;;12
90002582;1715;"MODULE ELECTRONIC FESTO 538788 24V";"false";;"FESTO";"538788";"FESTO";"NOT OEM";"FALSE";0;;;;;;;;;12
90001943;1715;"SEAL CAM RING BRETTING 4044-261";"false";;"BRETTING";"4044-261";"BRETTING";"NOT OEM";"TRUE";;;;;;;;;;0
90001944;1715;"SEAL CAM RING BRETTING 4044-262";"false";;"BRETTING";"4044-262";"BRETTING";"NOT OEM";"TRUE";;;;;;;;;;0
90000145;1715;"CABLE ELECTRICAL PCMC 30295924 25000MM";"false";;"PCMC";"30295924";"PCMC";"NOT OEM";"TRUE";0;2;2;;;;;;;6
90002586;1715;"MOTOR AC MARATHON ELECTRIC 143TTFR4329";"false";;"MARATHON ELECTRIC";"143TTFR4329";"MARATHON ELECTRIC";"NOT OEM";"FALSE";2;2;5;;;;;;;10
90002747;1715;"RAIL LINEAR EDSON E1000889";"false";;"EDSON";"E1000889";"EDSON";"NOT OEM";"TRUE";;0;1;;;;;;;0
90000140;1715;"CABLE ELECTRICAL PCMC 30295089 25000MM";"false";;"PCMC";"30295089";"PCMC";"NOT OEM";"TRUE";0;2;2;;;;;;;6
90002271;1715;"COUPLING FLEX ZERO MAX 6A30-A1C-3/4K-32B";"false";;;"6A30-A1C-3/4K-32B";;;;1;2;6;;;;;;;-2
90001968;1715;"ARM LINK BRETTING 4046-295";"true";;"BRETTING";"4046-295";"BRETTING";"NOT OEM";"TRUE";;2;4;;;;;;;14
90002094;1715;"BELT TIMING CARLISLE 2450-14M-115 2450MM";"false";;"CARLISLE";"2450-14M-115";"CARLISLE";"NOT OEM";"FALSE";1;4;1;;;;;;;8
