Material Type,Material Group,Material,Description,Base Unit,BatchManagement,Configurable,Mfr Part Number,Manufacturer,Material locked,Division,Supply source,W/ empties BOM
ZER2,U26121629,90000135,CABLE ELECTRICAL PCMC 30202713 30000MM,EA,,,,,,,,
ZER2,U26121629,90000136,CABLE ELECTRICAL PCMC 30264929 20000MM,EA,,,,,,,,
ZER2,U26121629,90000137,CABLE ELECTRICAL PCMC 30294955 20000MM,EA,,,,,,,,
ZER2,U26121629,90000138,CABLE ELECTRICAL PCMC 30294956 30000MM,EA,,,,,,,,
ZER2,U26121629,90000139,CABLE ELECTRICAL PCMC 30295088 20000MM,EA,,,,,,,,
ZER2,U26121629,90000140,CABLE ELECTRICAL PCMC 30295089 25000MM,EA,,,,,,,,
ZER2,U26121629,90000141,CABLE ELECTRICAL PCMC 30295092 30000MM,EA,,,,,,,,
ZER2,U26121629,90000142,CABLE ELECTRICAL PCMC 30295117 30000MM,EA,,,,,,,,
ZER2,U26121629,90000143,CABLE ELECTRICAL PCMC 30295124 30000MM,EA,,,,,,,,
ZER2,U26121629,90000144,CABLE ELECTRICAL PCMC 30295127 40000MM,EA,,,,,,,,
ZER2,U26121629,90000145,CABLE ELECTRICAL PCMC 30295924 25000MM,EA,,,,,,,,
ZER2,U26121629,90000146,CABLE ELECTRICAL PCMC 30400251 300MM,EA,,,,,,,,
ZER2,U26121629,90000147,CABLE ELECTRICAL PCMC 30465296,EA,,,,,,,,
ZER2,U26121629,90000148,CABLE ELECTRICAL PCMC 30554540 5000MM,EA,,,,,,,,
ZER2,U26121629,90000149,CABLE ELECTRICAL PCMC 30554554 20000MM,EA,,,,,,,,
ZER2,U26121629,90000150,CABLE ELECTRICAL PCMC 30576517 10000MM,EA,,,,,,,,
ZER2,U26121629,90000151,CABLE ELECTRICAL PCMC 30576518 20000MM,EA,,,,,,,,
ZER2,U26121629,90000152,CABLE ELECTRICAL PCMC 30581579 10000MM,EA,,,,,,,,
ZER2,U26121629,90000153,CABLE ELECTRICAL PCMC 30616977 1000MM,EA,,,,,,,,
ZER2,U26121629,90000154,CABLE ELECTRICAL PCMC 34554 10000MM,EA,,,,,,,,
ZER2,U26121629,90000155,CABLE ELECTRICAL PCMC 36753 15000MM,EA,,,,,,,,
ZER2,U26121629,90000156,CABLE ELECTRICAL PCMC 36927 10000MM,EA,,,,,,,,
ZER2,U26121629,90000157,CABLE ELECTRICAL PCMC 37071 15000MM,EA,,,,,,,,
ZER2,U26121629,90000158,CABLE ELECTRICAL PCMC 5EABA055 ITAL,EA,,,,,,,,
ZER2,U26121629,90000159,CABLE ELECTRICAL PCMC 81526 10000MM,EA,,,,,,,,
ZER2,U26121607,90000160,CABLE FIBER OPTIC PCMC 30337395 2.2MM,EA,,,,,,,,
ZER2,U25171706,90000161,CALIPER BRAKE PCMC 151010.001.0,EA,,,,,,,,
ZER2,U25171706,90000162,CALIPER BRAKE PCMC 30168786 12.7MM,EA,,,,,,,,
ZER2,U25171706,90000163,CALIPER BRAKE PCMC 30183351 12.7MM 0.5IN,EA,,,,,,,,
ZER2,U25171706,90000164,CALIPER BRAKE PCMC 30539838 12.7MM,EA,,,,,,,,
ZER2,U45121515,90000165,CAMERA VIDEO PCMC 30524628,EA,,,,,,,,
ZER2,U31162701,90000166,CASTER INFINITY 411-0002 2.33IN 3.25IN,EA,,,,,,,,
ZER2,U26111505,90000167,CHAIN DRIVE PCMC 30534952.003 570IN,EA,,,,,,,,
ZER2,U26111505,90000168,CHAIN DRIVE PCMC 30543561 68.5IN .50IN,EA,,,,,,,,
ZER2,U24101729,90000169,CHAIN MATTOP INFINITY 540-3600 0.75IN,EA,,,,,,,,
ZER2,U24101730,90000170,CHAIN TABLE TOP INFINITY 541-0003A 120IN,EA,,,,,,,,
ZER2,U39121601,90000171,CIRCUIT BREAKER PCMC 127948 ADJ THERMAL,EA,,,,,,,,
ZER2,U39121601,90000172,CIRCUIT BREAKER PCMC 20513 ADJ THERMAL,EA,,,,,,,,
ZER2,U39121601,90000173,CIRCUIT BREAKER PCMC 30206892 1 10A,EA,,,,,,,,
ZER2,U39121601,90000174,CIRCUIT BREAKER PCMC 30212847 1 5A,EA,,,,,,,,
ZER2,U39121601,90000175,CIRCUIT BREAKER PCMC 30295006 1 3A,EA,,,,,,,,
ZER2,U39121601,90000176,CIRCUIT BREAKER PCMC 30297395 1 15A,EA,,,,,,,,
ZER2,U39121601,90000177,CIRCUIT BREAKER PCMC 30311477 1 15A,EA,,,,,,,,
ZER2,U39121601,90000178,CIRCUIT BREAKER PCMC 30599026 1 30A,EA,,,,,,,,
ZER2,U39121601,90000179,CIRCUIT BREAKER PCMC 38426 1 10A,EA,,,,,,,,
ZER2,U26111801,90000180,BELT PCMC 113187 FLAT 1649MM .7MM 14MM,EA,,,,,,,,
ZER2,U26111804,90000181,BELT PCMC 134791.150.0 150IN 0.05IN 3IN,EA,,,,,,,,
ZER2,U26111804,90000182,BELT PCMC 134791.348.0 348IN 0.05IN 3IN,EA,,,,,,,,
ZER2,U26111804,90000183,BELT PCMC 30090450.009 76000MM,EA,,,,,,,,
ZER2,U26111804,90000184,BELT PCMC 30506736 FLAT 1495MM 1.3MM,EA,,,,,,,,
ZER2,U26111804,90000185,BELT PCMC 30564691 2920MM 1.6MM 800MM,EA,,,,,,,,
ZER2,U26111804,90000186,BELT PCMC 30688225 10150MM 3MM 200MM,EA,,,,,,,,
ZER2,U26111804,90000187,BELT PCMC 30740177 76000MM,EA,,,,,,,,
ZER2,U26111802,90000188,BELT TIMING INFINITY 531-1440A 1440MM,EA,,,,,,,,
ZER2,U26111802,90000189,BELT TIMING INFINITY 531-2800B 2800MM,EA,,,,,,,,
ZER2,U31163210,90000190,COLLAR PCMC 120545 AIR PURGE COLLAR,EA,,,,,,,,
ZER2,U43211500,90000191,COMPUTER PCMC 30604419 1.6MHZ 32GB,EA,,,,,,,,
ZER2,U43211500,90000192,COMPUTER PCMC 30643720 SSD 1.6MHZ 32GB,EA,,,,,,,,
ZER2,U39121438,90000193,CONNECTOR RING PCMC 30533276,EA,,,,,,,,
ZER2,U39121438,90000194,CONNECTOR RING PCMC 30533277,EA,,,,,,,,
ZER2,U39121438,90000195,CONNECTOR RING PCMC 30533278,EA,,,,,,,,
ZER2,U39121522,90000196,CONTACT ELECTRICAL PCMC 116652 60A 110V,EA,,,,,,,,
ZER2,U39121522,90000197,CONTACT ELECTRICAL PCMC 30460646 9A 24V,EA,,,,,,,,
ZER2,U39121522,90000198,CONTACT ELECTRICAL PCMC 30460652 23A 24V,EA,,,,,,,,
ZER2,U39121522,90000199,CONTACT ELECTRICAL PCMC 30460656 37A 24V,EA,,,,,,,,
ZER2,U39121522,90000200,CONTACT ELECTRICAL PCMC 30460657 43A 24V,EA,,,,,,,,
ZER2,U39121522,90000201,CONTACT ELECTRICAL PCMC 30460662 9A 24V,EA,,,,,,,,
ZER2,U39121522,90000202,CONTACT ELECTRICAL PCMC 66443 24V 690V,EA,,,,,,,,
ZER2,U39121529,90000203,CONTACTOR PCMC 106521,EA,,,,,,,,
ZER2,U39121522,90000204,CONTACT ELECTRICAL PCMC 38749,EA,,,,,,,,
ZER2,U39121529,90000205,CONTACTOR PCMC 38888 MANUAL STARTER,EA,,,,,,,,
ZER2,U39121008,90000206,CONVERTER PCMC 5EABA059 ITAL AMPLIFIER,EA,,,,,,,,
ZER2,U24141702,90000207,CORE PLUG PCMC 30099019.051 51MM,EA,,,,,,,,
ZER2,U24141702,90000208,CORE PLUG PCMC 30099019.060 60MM,EA,,,,,,,,
ZER2,U24141702,90000209,CORE PLUG PCMC 30099019.075 75MM,EA,,,,,,,,
ZER2,U24141702,90000210,CORE PLUG PCMC 30099019.085 85MM,EA,,,,,,,,
ZER2,U31163001,90000211,COUPLING FLEX PCMC 131872.117.0 25MM,EA,,,,,,,,
ZER2,U31163001,90000212,COUPLING FLEX PCMC 30544254 32MM 40MM,EA,,,,,,,,
ZER2,U31163001,90000213,COUPLING FLEX PCMC 30566941 44IN 11MM,EA,,,,,,,,
ZER2,U31163001,90000214,COUPLING FLEX PCMC 30589333 25MM 24MM,EA,,,,,,,,
ZER2,U31163001,90000215,COUPLING FLEX PCMC 30679466 70MM 59MM,EA,,,,,,,,
ZER2,U39121424,90000216,COVER ELECTRICAL PCMC 30321540,EA,,,,,,,,
ZER2,U13100000,90000217,CUSHION PCMC 30531737 360IN .06IN .62IN,EA,,,,,,,,
ZER2,U27121602,90000218,CYLINDER HYDRAULIC PCMC 30458930 100MM,EA,,,,,,,,
ZER2,U27131701,90000219,CYLINDER PNEUMATIC PCMC 30021175 50MM,EA,,,,,,,,
ZER2,U27131701,90000220,CYLINDER PNEUMATIC PCMC 30114263 3.25IN,EA,,,,,,,,
ZER2,U27131701,90000221,CYLINDER PNEUMATIC PCMC 30365908 200MM,EA,,,,,,,,
ZER2,U27131701,90000222,CYLINDER PNEUMATIC PCMC 30456347 32MM,EA,,,,,,,,
ZER2,U27131701,90000223,CYLINDER PNEUMATIC PCMC 30500622 125MM,EA,,,,,,,,
ZER2,U27131701,90000224,CYLINDER PNEUMATIC PCMC 30511843 50MM,EA,,,,,,,,
ZER2,U27131701,90000225,CYLINDER PNEUMATIC PCMC 30542563 80MM,EA,,,,,,,,
ZER2,U27131701,90000226,CYLINDER PNEUMATIC PCMC 30547080 80MM,EA,,,,,,,,
ZER2,U25171708,90000227,DISC BRAKE PCMC 441000.852.0,EA,,,,,,,,
ZER2,U26111503,90000228,DRIVE VARIABLE FREQ PCMC 30167604 6KW 9A,EA,,,,,,,,
ZER2,U26111503,90000229,DRIVE VARIABLE FREQ PCMC 30167605 15KW,EA,,,,,,,,
ZER2,U26111503,90000230,DRIVE VARIABLE FREQ PCMC 30167607 9A 3PH,EA,,,,,,,,
ZER2,U26111503,90000231,DRIVE VARIABLE FREQ PCMC 30167608 15A,EA,,,,,,,,
ZER2,U26111503,90000232,DRIVE VARIABLE FREQ PCMC 30270527 90KW,EA,,,,,,,,
ZER2,U26111503,90000233,DRIVE VARIABLE FREQ PCMC 30275308 37KW,EA,,,,,,,,
ZER2,U26111503,90000234,DRIVE VARIABLE FREQ PCMC 30362898 55KW,EA,,,,,,,,
ZER2,U26111503,90000235,DRIVE VARIABLE FREQ PCMC 30376393 28KW,EA,,,,,,,,
ZER2,U26111503,90000236,DRIVE VARIABLE FREQ PCMC 30376394 45KW,EA,,,,,,,,
ZER2,U26111503,90000237,DRIVE VARIABLE FREQ PCMC 30376395 30A,EA,,,,,,,,
ZER2,U26111503,90000238,DRIVE VARIABLE FREQ PCMC 30376402 49A,EA,,,,,,,,
ZER2,U26111503,90000239,DRIVE VARIABLE FREQ PCMC 30542067 1.5KW,EA,,,,,,,,
ZER2,U40161505,90000240,FILTER AIR PCMC 30729720,EA,,,,,,,,
ZER2,U40161528,90000241,FILTER CARTRIDGE PCMC 116486 5 MICRON,EA,,,,,,,,
ZER2,U39111500,90000242,FIXTURE LIGHTING-BODY PCMC 30645722 1130,EA,,,,,,,,
ZER2,U39111500,90000243,FIXTURE LIGHTING-BODY PCMC 30646794 18W,EA,,,,,,,,
ZER2,U39121411,90000244,FUSE BLOCK PCMC 114612 30A 600V,EA,,,,,,,,
ZER2,U39121411,90000245,FUSE BLOCK PCMC 114613 60A 600V,EA,,,,,,,,
ZER2,U39121411,90000246,FUSE BLOCK PCMC 152600.001.0 30A 600V,EA,,,,,,,,
ZER2,U39121439,90000247,FUSE PCMC 150525.005.0 5A TIME DELAY,EA,,,,,,,,
ZER2,U39121439,90000248,FUSE PCMC 150525.007.0 20A TIME DELAY,EA,,,,,,,,
ZER2,U39121439,90000249,FUSE PCMC 150525.010.0 60A TIME DELAY,EA,,,,,,,,
ZER2,U39121439,90000250,FUSE PCMC 150525.012.0,EA,,,,,,,,
