Colonne3,Class Type,Internal class no.,Colonne1,Colonne2,Item Number
90008427,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008428,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008429,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008666,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008667,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008668,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008669,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008670,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008671,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008672,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008673,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008674,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008675,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008676,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008677,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008678,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008679,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008827,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008828,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008829,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008830,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010616,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010617,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010618,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010619,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010620,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010621,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010622,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010623,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010624,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010625,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010626,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010627,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010628,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010629,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010630,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010631,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010632,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010633,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010634,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010635,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010636,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010637,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010638,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010639,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010640,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010641,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010642,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010643,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010644,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010645,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010646,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010647,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010648,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010649,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010650,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90010651,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90012031,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90000066,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000067,001,349,U31171505_BRG_RLL,BRG ROLLER,10
