Material,Class Type,Class No,Class Desc,Class Key Word,Internal char no.,Characteristic Value,Value from,Value to,Code
90011556,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,1,0,1
90011556,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_KW,,0.01,0,1
90011556,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_ENCLOSURE,IP20,0,0,1
90011556,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_MFG,ORIENTAL MOTOR,0,0,1
90011556,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,3.6:1,0,0,1
90000228,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_INPUT_AMPERAGE,,9,0,1
90000228,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_INPUT_VOLTAGE,,480,0,1
90000228,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_OUTPUT_FREQ_RANGE,,50,60,3
90000228,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_PHASE,,3,0,1
90000228,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_POWER_KW,,6,0,1
90000229,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_INPUT_AMPERAGE,,15,0,1
90000229,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_INPUT_VOLTAGE,,480,0,1
90000229,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_OUTPUT_FREQ_RANGE,,50,60,3
90000229,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_PHASE,,3,0,1
90000229,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_POWER_KW,,15,0,1
90000230,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_INPUT_AMPERAGE,,9,0,1
90000230,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_INPUT_VOLTAGE,,480,0,1
90000230,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_OUTPUT_FREQ_RANGE,,50,60,3
90000230,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_PHASE,,3,0,1
90000231,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_INPUT_AMPERAGE,,15,0,1
90000231,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_INPUT_VOLTAGE,,480,0,1
90000231,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_OUTPUT_FREQ_RANGE,,50,60,3
90000231,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_PHASE,,3,0,1
90000232,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_INPUT_VOLTAGE,,480,0,1
90000232,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_OUTPUT_FREQ_RANGE,,50,60,3
90000232,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_OUTPUT_VOLTAGE,,480,0,1
90000232,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_PHASE,,3,0,1
90000232,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_POWER_KW,,90,0,1
90000233,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_INPUT_VOLTAGE,,480,0,1
90000233,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_OUTPUT_FREQ_RANGE,,50,60,3
90000233,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_OUTPUT_VOLTAGE,,480,0,1
90000233,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_PHASE,,3,0,1
90000233,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_POWER_KW,,37,0,1
90000234,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_OUTPUT_FREQ_RANGE,,50,60,3
90000234,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_OUTPUT_VOLTAGE,,480,0,1
90000234,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_PHASE,,3,0,1
90000234,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_POWER_KW,,55,0,1
90000235,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_OUTPUT_AMPERAGE,,30,0,1
90000235,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_OUTPUT_FREQ_RANGE,,50,60,3
90000235,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_OUTPUT_VOLTAGE,,480,0,1
90000235,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,EAM_PHASE,,3,0,1
