COEMF REQUEST#,CIE,VENDOR,VENDOR PART #,Part# found in SAP Desc,Material Group,CLASS ID,CLASS DESCRIPTION,SAP PARTS DESCRIPTION FR,SAP PARTS DESCRIPTION EN,LENGTH,PCMC#,COMMENTS,STATUS,SAP#,RESP
361,2241,Rockwell,1492-GH150,,,,,DISJ 15A 125V 1P MINI AB1492,CIRC BREAKER 15A 125V MINI AB1492,28/33,ROCKWELL / 1492-GH150,2241v1808.8,PROD,90013974,PASCAL
361,2241,Rockwell,1492-JG3,,,,,BORNIER MAT 22-12AWG 2.5MM AB1492,TERM BLOCK GRND 22-12AWG 2.5MM AB1492,33/37,ROCKWELL / 1492-JG3,2241v1808.8,PROD,90016392,PASCAL
361,2241,Rockwell,1492-L3T,,,,,BORNIER TR 25A 600V 30-12AWG AB1492,TERM BLOCK FD 25A 600V 30-12AWG AB1492,35/38,ROCKWELL / 1492-L3T,2241v1808.8,PROD,90013976,PASCAL
361,2241,Rockwell,1492-PPJD3,,,,,BORNIER PARTITION AB1492-J3,TERM BLOCK PARTITION AB1492-J3,27/30,ROCKWELL / 1492-PPJD3,2241v1808.8,PROD,90013977,PASCAL
361,2241,Rockwell,1492-REC15G,,,,,PRISE 15A 125V DUPLEX GFCI DIN RAIL,RECEPTACLE 15A 125V DUPLEX GFCI DIN RAIL,35/40,ROCKWELL / 1492-REC15G,2241v1808.8,PROD,90013978,PASCAL
361,2241,Rockwell,1492-WFB4,,,,,BLOC FUSIBLE 15A 300V TYPE-W 4MM AB1492,FUSE BLOCK 15A 300V TYPE-W 4MM AB1492,39/37,ROCKWELL / 1492-WFB4,2241v1808.8,PROD,90013979,PASCAL
361,2241,Rockwell,1606-XLE240EN,,,,,BLOC ALIM ELEC 240W 24-28VDC 20AC AB1606,PWR SUPPLY 240W 24-28VDC 20VAC AB1606,40/37,ROCKWELL / 1606-XLE240EN,2241v1808.8,PROD,90013980,PASCAL
361,2241,Rockwell,1606-XLP15A,,,,,BLOC ALIM COMPACT 15W 5VDC 1P AB1606,PWR SUPPLY COMPACT 15W 5VDC 1P AB1606,36/37,ROCKWELL / 1606-XLP15A,2241v1808.8,PROD,90013981,PASCAL
361,2241,3M,310-1001,90013948,,,,BOUCHONS OREILLE 3M 310-1001,EAR PLUG 3M 310-1001,28/20,3M / 310-1001,2241v1808.8,PROD,90013948,PASCAL
361,3411,magnecraft,70-461-1,,,,,SOCLE TERM RELAIS 300V 10A 14CONN,SOCKET RELAY 300V 10A 14CONN,33/28,MAGNECRAFT / 70-461-1,3411v1808.10,PROD,90012810,
361,3411,OMRON,D4A-1110N,,,,,INTERR POS ROUL PISTON 17.65N,SWT LIMIT ROLL PLUNGER 17.65N,29/29,OMRON / D4A-1110N,3411v1808.10,PROD,90012811,
361,3411,OMRON,E2E-X5F1-M1,,,,,CAPTEUR PROX INDUCTIF 5MM 3F PNP M12,SENSOR PROX INDUCTIVE 5MM 3W PNP M12,36/36,OMRON / E2E-X5F1-M1,3411v1808.10,PROD,90012797,
361,3411,OMRON,E39-F4,,,,,COUPE-CABLE FIBRE OPTIQUE,WIRE CUTTER FIBER OPTICS,25/24,OMRON / E39-F4,3411v1808.10,PROD,90012799,
