MATERIAL_NUMBER,MATL GROUP,MATERIAL_SHORT_DESCRIPTION,DUPLICATE_REFERENCE,MANUFACTURER/VENDOR,VENDOR1.x,VENDOR2.x,PART_NUMBER,BRAND,MANUFACTURER/ VENDOR,FinalVendorName,VENDOR,VENDOR1.y,VENDOR2.y,VENDOR PART #,STATUS,Z011.VENDOR,Z011.NAME,Z011.dist
90000057,U31171511,BEARING PILLOW BLOCK INFINITY 515-0004,NA,INFINITY,INFINITY,NA,515-0004,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000058,U31171511,BEARING PILLOW BLOCK PCMC 30367932 ASSY,NA,PCMC,PCMC,NA,30367932,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000059,U31171508,BEARING ROD END INFINITY 516-0046 .37IN,NA,INFINITY,INFINITY,NA,516-0046,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000060,U31171508,BEARING ROD END INFINITY 516-0046A .37IN,NA,INFINITY,INFINITY,NA,516-0046A,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000061,U31171508,BEARING ROD END PCMC 121167 50MM,NA,PCMC,PCMC,NA,121167,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000062,U31171508,BEARING ROD END PCMC 134153.115.0 16MM,NA,PCMC,PCMC,NA,134153.115.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000063,U31171508,BEARING ROD END PCMC 30452664 16MM 16MM,NA,PCMC,PCMC,NA,30452664,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000064,U31171508,BEARING ROD END PCMC 30452676 16MM 16MM,NA,PCMC,PCMC,NA,30452676,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000065,U31171508,BEARING ROD END PCMC 30521986 20MM 20MM,NA,PCMC,PCMC,NA,30521986,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000066,U31171505,BEARING ROLLER PCMC 120217.001.0 150MM,NA,PCMC,PCMC,NA,120217.001.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000067,U31171505,BEARING ROLLER PCMC 151596.001.0 60MM,NA,PCMC,PCMC,NA,151596.001.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000068,U31171505,BEARING ROLLER PCMC 160050.222.9 110MM,NA,PCMC,PCMC,NA,160050.222.9,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000069,U31171505,BEARING ROLLER PCMC 160055.230.9 150MM,NA,PCMC,PCMC,NA,160055.230.9,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000070,U31171505,BEARING ROLLER PCMC 160060.218.9 90MM,NA,PCMC,PCMC,NA,160060.218.9,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000071,U31171505,BEARING ROLLER PCMC 30193745 80MM TAPER,NA,PCMC,PCMC,NA,30193745,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000072,U31171505,BEARING ROLLER PCMC 30513531 160MM 240MM,NA,PCMC,PCMC,NA,30513531,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
