Material,Description,Configurable,Manufacturer,Mfr Part Number,Material Type,Material Group,MATL GROUP,MATERIAL_SHORT_DESCRIPTION,DUPLICATE_REFERENCE,MANUFACTURER/VENDOR,VENDOR1.x,VENDOR2.x,PART_NUMBER,BRAND,MANUFACTURER/ VENDOR,FinalVendorName,VENDOR,VENDOR1.y,VENDOR2.y,VENDOR PART #,STATUS,Z011.VENDOR,Z011.NAME,Z011.dist
90000045,BEARING FLANGED PCMC 160832.405.2 25MM,NA,50184,160832.405.2,ZER2,U31171501,U31171501,BEARING FLANGED PCMC 160832.405.2 25MM,NA,PCMC,PCMC,NA,160832.405.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000046,BEARING FLANGED PCMC 30190639 90MM,NA,50184,30190639,ZER2,U31171501,U31171501,BEARING FLANGED PCMC 30190639 90MM,NA,PCMC,PCMC,NA,30190639,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000047,BEARING FLANGED PCMC 30190641 85MM,NA,50184,30190641,ZER2,U31171501,U31171501,BEARING FLANGED PCMC 30190641 85MM,NA,PCMC,PCMC,NA,30190641,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000048,BEARING FLANGED PCMC 30507362 25MM,NA,50184,30507362,ZER2,U31171501,U31171501,BEARING FLANGED PCMC 30507362 25MM,NA,PCMC,PCMC,NA,30507362,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000049,BEARING FLANGED PCMC 30743634 50MM,NA,50184,30743634,ZER2,U31171501,U31171501,BEARING FLANGED PCMC 30743634 50MM,NA,PCMC,PCMC,NA,30743634,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000050,BEARING FLANGED PCMC 36131 25MM 2 BOLTS,NA,50184,36131,ZER2,U31171501,U31171501,BEARING FLANGED PCMC 36131 25MM 2 BOLTS,NA,PCMC,PCMC,NA,36131,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000051,BEARING FLANGED PCMC 72569 35MM,NA,50184,72569,ZER2,U31171501,U31171501,BEARING FLANGED PCMC 72569 35MM,NA,PCMC,PCMC,NA,72569,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000052,BEARING LINEAR PCMC 30081169 20MM 45MM,NA,50184,30081169,ZER2,U31171506,U31171506,BEARING LINEAR PCMC 30081169 20MM 45MM,NA,PCMC,PCMC,NA,30081169,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000053,BEARING LINEAR PCMC 30500217 190MM,NA,50184,30500217,ZER2,U31171506,U31171506,BEARING LINEAR PCMC 30500217 190MM,NA,PCMC,PCMC,NA,30500217,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000054,BEARING LINEAR PCMC 30500233 190MM,NA,50184,30500233,ZER2,U31171506,U31171506,BEARING LINEAR PCMC 30500233 190MM,NA,PCMC,PCMC,NA,30500233,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000055,BEARING LINEAR PCMC 30510757 30MM 50MM,NA,50184,30510757,ZER2,U31171506,U31171506,BEARING LINEAR PCMC 30510757 30MM 50MM,NA,PCMC,PCMC,NA,30510757,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000056,BEARING LINEAR PCMC 74659,NA,50184,74659,ZER2,U31171506,U31171506,BEARING LINEAR PCMC 74659,NA,PCMC,PCMC,NA,74659,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000057,BEARING PILLOW BLOCK INFINITY 515-0004,NA,50113,515-0004,ZER2,U31171511,U31171511,BEARING PILLOW BLOCK INFINITY 515-0004,NA,INFINITY,INFINITY,NA,515-0004,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,50113,INFINITY,0
90000058,BEARING PILLOW BLOCK PCMC 30367932 ASSY,NA,50184,30367932,ZER2,U31171511,U31171511,BEARING PILLOW BLOCK PCMC 30367932 ASSY,NA,PCMC,PCMC,NA,30367932,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000059,BEARING ROD END INFINITY 516-0046 .37IN,NA,50113,516-0046,ZER2,U31171508,U31171508,BEARING ROD END INFINITY 516-0046 .37IN,NA,INFINITY,INFINITY,NA,516-0046,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,50113,INFINITY,0
90000060,BEARING ROD END INFINITY 516-0046A .37IN,NA,50113,516-0046A,ZER2,U31171508,U31171508,BEARING ROD END INFINITY 516-0046A .37IN,NA,INFINITY,INFINITY,NA,516-0046A,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,50113,INFINITY,0
90000061,BEARING ROD END PCMC 121167 50MM,NA,50184,121167,ZER2,U31171508,U31171508,BEARING ROD END PCMC 121167 50MM,NA,PCMC,PCMC,NA,121167,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000062,BEARING ROD END PCMC 134153.115.0 16MM,NA,50184,134153.115.0,ZER2,U31171508,U31171508,BEARING ROD END PCMC 134153.115.0 16MM,NA,PCMC,PCMC,NA,134153.115.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000063,BEARING ROD END PCMC 30452664 16MM 16MM,NA,50184,30452664,ZER2,U31171508,U31171508,BEARING ROD END PCMC 30452664 16MM 16MM,NA,PCMC,PCMC,NA,30452664,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000064,BEARING ROD END PCMC 30452676 16MM 16MM,NA,50184,30452676,ZER2,U31171508,U31171508,BEARING ROD END PCMC 30452676 16MM 16MM,NA,PCMC,PCMC,NA,30452676,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000065,BEARING ROD END PCMC 30521986 20MM 20MM,NA,50184,30521986,ZER2,U31171508,U31171508,BEARING ROD END PCMC 30521986 20MM 20MM,NA,PCMC,PCMC,NA,30521986,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000066,BEARING ROLLER PCMC 120217.001.0 150MM,NA,50184,120217.001.0,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 120217.001.0 150MM,NA,PCMC,PCMC,NA,120217.001.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000067,BEARING ROLLER PCMC 151596.001.0 60MM,NA,50184,151596.001.0,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 151596.001.0 60MM,NA,PCMC,PCMC,NA,151596.001.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000068,BEARING ROLLER PCMC 160050.222.9 110MM,NA,50184,160050.222.9,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 160050.222.9 110MM,NA,PCMC,PCMC,NA,160050.222.9,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000069,BEARING ROLLER PCMC 160055.230.9 150MM,NA,50184,160055.230.9,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 160055.230.9 150MM,NA,PCMC,PCMC,NA,160055.230.9,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000070,BEARING ROLLER PCMC 160060.218.9 90MM,NA,50184,160060.218.9,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 160060.218.9 90MM,NA,PCMC,PCMC,NA,160060.218.9,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000071,BEARING ROLLER PCMC 30193745 80MM TAPER,NA,50184,30193745,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 30193745 80MM TAPER,NA,PCMC,PCMC,NA,30193745,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000072,BEARING ROLLER PCMC 30513531 160MM 240MM,NA,50184,30513531,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 30513531 160MM 240MM,NA,PCMC,PCMC,NA,30513531,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000073,BEARING ROLLER PCMC 30513537 150MM 225MM,NA,50184,30513537,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 30513537 150MM 225MM,NA,PCMC,PCMC,NA,30513537,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000074,BEARING ROLLER PCMC 30513723 70MM 150MM,NA,50184,30513723,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 30513723 70MM 150MM,NA,PCMC,PCMC,NA,30513723,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000075,BEARING ROLLER PCMC 30513732 65MM 140MM,NA,50184,30513732,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 30513732 65MM 140MM,NA,PCMC,PCMC,NA,30513732,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000076,BEARING ROLLER PCMC 30513735 85MM 140MM,NA,50184,30513735,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 30513735 85MM 140MM,NA,PCMC,PCMC,NA,30513735,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000077,BEARING ROLLER PCMC 30516469 50MM 110MM,NA,50184,30516469,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 30516469 50MM 110MM,NA,PCMC,PCMC,NA,30516469,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000078,BEARING ROLLER PCMC 30516498 70MM 110MM,NA,50184,30516498,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 30516498 70MM 110MM,NA,PCMC,PCMC,NA,30516498,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000079,BEARING ROLLER PCMC 37782 20MM 26MM NDL,NA,50184,37782,ZER2,U31171505,U31171505,BEARING ROLLER PCMC 37782 20MM 26MM NDL,NA,PCMC,PCMC,NA,37782,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000080,BEARING SPHERICAL PCMC 150593.103.0 20MM,NA,50184,150593.103.0,ZER2,U31171510,U31171510,BEARING SPHERICAL PCMC 150593.103.0 20MM,NA,PCMC,PCMC,NA,150593.103.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000081,BEARING SPHERICAL PCMC 30510835 15MM,NA,50184,30510835,ZER2,U31171510,U31171510,BEARING SPHERICAL PCMC 30510835 15MM,NA,PCMC,PCMC,NA,30510835,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000082,BEARING SPHERICAL PCMC 30513172 20MM,NA,50184,30513172,ZER2,U31171510,U31171510,BEARING SPHERICAL PCMC 30513172 20MM,NA,PCMC,PCMC,NA,30513172,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000083,BEARING SPHERICAL PCMC 30513178 50MM,NA,50184,30513178,ZER2,U31171510,U31171510,BEARING SPHERICAL PCMC 30513178 50MM,NA,PCMC,PCMC,NA,30513178,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000084,BEARING THRUST PCMC 30513168 30MM 90MM,NA,50184,30513168,ZER2,U31171507,U31171507,BEARING THRUST PCMC 30513168 30MM 90MM,NA,PCMC,PCMC,NA,30513168,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
